plate,review_reason_code,customer_meaning,reviewer_comments,status
4335OR1,6,NO SPESIAL MEANING,LOOKS LIKE A COMMERCIAL,N
9549OY1,6,MY SILVERADO PLATE NUMBER,LOOKS LIKE A COMMERCIAL,N
MAKE $,1,I AM A THERAPIST WHO HELP PEOPLE CREATE BETTER RELATIONSHIPS AND THIS PLATE SYMBOLIZES MY LIFE WORK,MAKE LOVE,N
DRF4LFE,2,DIRT ROAD FANATIC FOR LIFE,DWARF FOR LIFE,Y
JST 1 PMP,1,JUST 1 PUMP,JUST ONE PIMP JUST ONE PUMP,N
SNO BNZ,2,LAST NAME AND VEHICLE TYPE,SNOW BUNNIES OR SNO BENZ,N
HELICOP,5,"HELICOPTER, HELIO",COP=LAW ENFORCEMENT,N
7O2 TOWN,2,NO MEANING ON REG 17,702=AREA CODE,N
8O5PASO,2,AREA CODE AND PASO ROBLES,805=AREA CODE,N
MYDMSLF,3,MY DAMN SELF,MY DAMN SELF,N
PIG B 8,5,"PROMOTIONAL TOOL FOR A BBQ COMPANY ""PIG BE ATE"" CUASE ITS SO GOOD!",PIG=CAN BE MISREPRESENTATION OF LAW ENFORCEMENT,N
BB7O7,2,WIFES INITIALS AND OUR AREA CODE,707=AREA CODE,N
HFAH,2,HUSBAND FOR AN HOUR,"""HEFFA""",N
8 Q 5,2,805 AREA CODE,805=AREA CODE,N
KILR42O,2,KILLER TIME TO HAVE FUN,420 COULD BE MARIJUANA REFERENCE,N
HODOOOR/,2,GAME OF THRONES CHARACTER,HO DOOR,Y
LKS/WNRS,1,LISA K SHARP LIKES DACHSHOUNDS,LIKES WEINERS,N
B4ST4RD,3,"THE QUOTE ""BEFORE SAINTHOOD, BE FOR THE ROAD TO GET THERE.""",BASTARD,N
GLM BTCH,3,GLAM BITCH,PROFANITY,N
KNKLS UP,2,KNUCKLES UP'  THE NAME OF MY OFF ROAD GROUP..  YOUR KNUCKLES ARE UP WHEN RIDING  DIRT BIKES,PREPARE TO FIGHT,N
L310X0,2,"L IS FOR MY FIRST NAME, LAUREN. 310 IS FOR LOS ANGELES' AREA CODE. AND XO IS FOR KISSES AND HUGS.",310 AREA CODE,N
NINJA U,2,THE Q IS THE INTIAL FOR MY MARRIED LAST NAME. AND MOMMA BECAUSE OF MY KIDS,BECAUSE OF U,N
O FFS,2,OH FORMER FLIGHT SERVICE,SWEAR WORD,N
TOO4N,4,IT STANDS FOR TOON AND MY FAVORITE NUMBER IS 4,TOO FOREIGN,Y
213 LOVE,2,"I LOVE MY PLACE OF BIRTH, LOS ANGELES AND MY AREA CODE. I HAVE A CLOTHING BRAND WITH THIS NAME TOO",AREA CODE,N
440 COP,5,"THIS VEHICLE IS A RESTORED ""COP"" POLICE CAR WITH A 440 CUBIC INCH V-8 ENGINE.",LAW ENFORCEMENT,N
NOMA7O7,2,"HOMETOWN: SONOMA, AREA CODE: 707",AREA CODE,N
PEECUP,3,"OTHER WORD FOR PICK UP, MY FATHER HAD THIS LETTERING ON HIS TRUCK YEARS AGO, TRIBUTE  TO MY DAD","""PEE""",N
QQOQOOO,6,NO MEANING,LOOK ALIKE,N
W22OO75,6,CHASIS CODE,"LOOK ALIKE, TIN #",N
415X8O8,2,AREA CODES OF SAN FRANCISCO AND HAWAII.  THESE ARE THE AREA CODES OF WHERE I AM  FROM.,AREA CODE,N
51OK,2,IT IS A KIND OF POKER IN CHINA.,AREA CODE,N
42613QO,6,"1300 DIED IN BANGLADESH ON APRIL 26, 1989 IN THE WORLD'S DEADLIEST TORNADO. THIS HONORS THAT TRAJEDY.",LOOK A LIKE,N
ABERGIN,1,"SHORT FOR AUBERGINE, FRENCH FOR EGGPLANT, COLOR OF CAR",EGGPLANT,N
BRME31O,2,FAMILY INTIALS,310 AREA CODE,N
DAMGINA,2,MY VEHICLES NAME IS GINA. THIS IS A POPULAR  SAYING FROM A TELEVISION SHOW. PEOPLE SAY THIS ALL THE TIME.,DAM GINA,N
DERTBAG,2,I'AM A HUGE FAN AND AN ALUMNI OF CSULB  BASEBALL TEAM. THIS IS THE NICNAME GIVEN TO THE COLLEGE BASEBALL TEAM.,DIRT BAG,Y
DOBBY 2,1,"NICKNAME FOR ""DOBKIN""",DO BABY2,N
GOBLU 83,2,MICHIGAN PHRASE... GO BLUE AND THE YEAR 1983,BLUE,Y
ILUVBLU,2,BLU IS MY DAUGHTERS'S NAME. :),I LOVE BLUE,Y
MM 424,2,WIFE AND I INTIALS AND ANNIVERSARY DATE.,424 AREA CODE,N
M8T MDGT,2,STRONG LITTLE MAN,MIDGET,N
SLUMPT,2,SLEEPY,TO BE HIGH OR INTOXICATED,N
UWNT M8,2,U WONT MATE,YOU WANT ME OR YOU WANT TO MATE,N
BLUJOLT,2,THE CAR IS AN ELECTRIC BLUE COLOR NISSAN LEAF,BLUE,Y
B42OCA,6,"**PLEASE CENTER***B42 OCA IS MY COMPANY ID, BUT I WOULD LIKE THE SERIAL CENTERED. THANK  YOU FOR THE CONSIDERATION",LOOK A LIKE,N
DMRIGHT,3,DAMN RIGHT,DAMN RIGHT,N
FHID323,2,FRED HIDALGO MARCH 23,323 AREA CODE,N
I8A911,1,NICKNAME FOR CAR,I ATE A PORSCHE 911,N
I8NTRAN,1,I8 IS MY CAR MODEL. NTRAN IS MY NAME.,TRAN IS CUSTOMER NAME I 8 N TRAN,N
LCAT 707,2,MODEL OF VEHICLE AND HORSEPOWER,707 AREA CODE,Y
LOUEZER,2,PLAY ON WIFE'S MIDDLE NAME,LOSER,N
LV MY DGO,2,LOVE MY DURANGO,DAYGO,N
MEAN 805,2,"NICKNAME FOR THE VEHICLE IS MEAN GREEN, AREA CODE IS 805 WHERE GREW UP",805 AREA CODE,N
NGOC666,2,THIS IS MY NAME 666 LUCKY NUMBER,666 MARK OF THE BEAST,Y
OC 949,2,ORANGE COUNTY AND AREA CODE,949 AREA CODE,N
OHHHCHP,5,SUPPORT CHP OFFICERS,CHP CALIFORNIA HIGHWAY PATROL,N
OL BLOO,2,THE VEHICLE'S NICKNAME IS OLD BLUE,BLUE,Y
PKBS424,2,INITIALS OF FAMILY MEMBERS AND FAVORITE NUMBERS,424 AREA CODE,N
RAFA211,2,MY SON NAME AND BIRTHDAY,211 ROBBERY,N
SDUCTVJ,1,NICK NAME,SEDUCTIVE J,N
SKNDLUS,1,MY NEW CAR IS BLACK AND A CONVERTABLE AND IS SCANDULUS!!!,SCANDALOUS,Y
THE LOC,2,"PRONOUCED ""THE LOCK"".. AS A BASKETBALL PLAYER I WAS A LOCKDOWN DEFENDER",LOC AS IN CRIP,N
UHOH CHP,5,"UH OH CHP, BETTER DRIVE NORMAL...",CHP CALIFORNIA HIGHWAY PATROL,N
1009AM,6,SPECIAL TIME OF DAY,LOOK A LIKE,N
11LB562,2,BIRTHDAY MONTH LONG BEACH AREA CODE,562 AREA CODE,N
1771K3Y,6,MIKEY!!,177=M 1K3Y MIKEY,Y
6939OC6,6,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE,LOOK A LIKE,N
707 BRUH,2,MY AREA CODE,707 AREA CODE,N
707SLZY,2,"707 IS THE AREA CODE BUT WITH A LETTER O FOR MY FIRST NAME, OMAR. SLZY IS SHORT FOR SLEAZY IN OTHER WORDS NOT DECENT OR SOCIALLY RESPECTABLE",707 AREA CODE,N
PNKDOG,1,I OWN A HOTEL AND SPA FOR DOGS THE MASCOT IS A PINK DOG,PINK DOG,N
W88&4IT,2,W88&4IT,WAIT FOR IT,Y
6 PANZER,2,AMOUR,MILOTARY TANK,N
O115RT,6,ANNIVERSARY DATE AND OUR INITIALS.R=RYAN T=TIFFANY,LOOK A LIKE,N
AREDLDY,2,A RED LADY,A RED LADY,N
FLEXTSY,1,JOY OF A FORD FLEX,ECSTACY,N
FRKY DKY,1,"CAR HAS A LOT OF CUSTOM FEATURES. CUSTOM PAINT, CUSTOM RIMS, ETC.",FREAKY DEAKY,N
2024 CW,6,GIRLFRIEND BOYFRIEND BIRTHDAY DATE,LOOK A LIKE,N
IMPS 213,2,I'M POSITIVE 2 1 THING,AREA CODE LOS ANGELES,N
NOTCH U,2,NOT YOU,NOT YOU (JUST PULLED BECAUSE OF 'YOU'),Y
URSLATE,2,ROCK,URBAN DICTIONARY SAYS TO SLATE MEANS TO CUSS OUT OR TO INSULT… YOU'RE SLATE? PULLED BECAUSE OF THE 'YOU',Y
4LN GOON,2,4TH LINE GOON IS A POSITION ON A HOCKEY  TEAM,GOON=HIRED HOODLUM OR THUG. IT APPEARS THIS TERM IS USED IN HOCKEY (FROM A GOOGLE SEARCH),N
QING 666,4,MY WIFE NAME,666?,Y
KABRWN,3,"MY GIRLFRIEND'S NAME, KATHY BROWN",CABRON,N
AO22O91,6,LUCKY NUMBERS IN THAT ORDER,LOOK ALIKE,N
CAKELIF,1,CAKE LIFE,CAKE=BOOTY,N
66327EC,6,1966 327 EL CAMINO,LOOK ALIKE,N
C216OH,2,C STANDS FOR CLEVELAND.  216 IS THE AREA CODE AND OH STANDS FOR OHIO.,216=AREA CODE,N
DA4ONE2,2,THE 412,412=AREA CODE,N
DEAD O4,2,NO MEANING ON REG 17,PULLED FOR DEAD,N
DTH SQD,2,FRIENDS INITIALS,DEATH SQUAD,N
HEMI 831,2,HEMI V8 AND MY LOCAL AREA CODE,831=AREA CODE,N
JUNO616,2,DATE TRUCK PURCHASED,616=AREA CODE,N
LETHAL 1,2,MOVIE TITLE,PULLED FOR LETHAL,N
PURR 7O7,2,REFERENCE TO A CAT/HORSEPOWER,707=AREA CODE,N
STPD 24O,5,"STUPID 240SX (NISSAN 240SX'S ARE KNOWN TO GIVE THE OWNER MANY ISSUES, THEREFORE ""STUPID 240"" IS A BIT OF COMIC RELIEF)","PULLED FOR ""STPD"" COULD BE LAW ENFORCEMENT REFERENCE",N
XU666,2,"XU IS MY LAST NAME, AND 666 IS A LUCKY NUMBER",PULLED FOR 666,Y
4O8HEMI,2,THE TYPE OF ENGINE IN MY VEHICLE.,408=AREA CODE,Y
CITY415,2,NO MEANING ON REG 17,415=AREA CODE,N
ZWERG,2,DWARF IN GERMAN,ZWERG MEANS DWARF IN GERMAN,N
DRTBAG9,2,BASEBALL TEAM AND NUMBER,DIRTBAG 9,N
6S6I6X,2,SIX SIX SIX,PULLED FOR 666,Y
GOBLU16,2,FAVORITE TEAM AND FAVORITE NUMBER,BLUE,Y
G STER,2,IT IS THE NICKNAME FOR OUR DOG GULLIVER...GULLIEMEISTER...G'STER,G GANSTER,N
ITIIIII,6,NO MEANING,LOOKS LIKE ALL DIGITS,N
mmmnmnm,6,MATCHING PLATE LIKE WIFES CAR,LOOKS LIKE ALL DIGITS,N
MNMNNMN,6,MINNESOTA MOUNTIN MAN,LOOKS LIKE ALL DIGITS,N
nmmmnmn,6,SIMILAR TO FAMILY PLATE,LOOKS LIKE ALL DIGITS,N
NMNMNNM,6,FOR MY SONS CAR TO MATCH,LOOKS LIKE ALL DIGITS,N
NMNNMNM,6,WILL BE CUTE ON MY WIFES CAR NEXT TO MINE,LOOKS LIKE ALL DIGITS,N
PILT LYF,7,PILOT LIFE,PILT LIFE TO BE EXTREMELY INTOXICATED,Y
RAMCLAM,1,FOR THE RAMS,CLAM,N
TRAMPAZ,2,BASEBALL TEAM,TRAMP,N
1BDV3C6,6,BAD LOOKING CORVETTE,LOOK ALIKE,N
51OSR2O,2,510 IS CAR SR20 IS ENGINE,510 AREA CODE,Y
608211C,6,YEARS OF DAD SON & MY SELF & LETTER C BEGIN OUR NAMES,LOOKS LIKE A TIN NUMBER,N
6115OAK,6,"MY HOUSE NUMBER WHERE I WAS BORN IN OAKLAND, CA",LOOKS LIKE A COMMERCIAL,N
9458OX3,6,YEAR MY CHILDREN WERE BORN AND HUGS TIMES 3,LOOKS LIKE A COMMERCIAL,N
BLU R2D2,2,"THE COLOR ""BLUE"" AND THE STAR WARS CHARACTER ""R2-D2""",BLUE,Y
CA9O731,6,THE STATE AND ZIP CODE I LIVE IN,LOOK A LIKE,N
IMONLVL,2,I'M ON A LEVEL,"""IM ON"" TO BE HIGH",N
YAH BLUE,2,UNIVERSITY IF MICHIGAN ALUMNI,BLUE,Y
HILBLY1,2,HILL BILLY IS MY NICK NAME,HILL BILLY,N
OOOOOQA,6,QUANTUM AERONAUTICS,LOOKS LIKE ALL DIGITS,N
OOOOOQB,6,QUANTUM BIOLOGY,LOOKS LIKE ALL DIGITS,N
EM1 BLU,2,"BLUE EM1 HONDA, EM1 IS THE MODEL OR TYPE OF CAR",BLUE,Y
BYOFCR,5,..,"""BYE OFFICER""",N
LAMMCHP,5,SHERRIE LEWIS' HAND PUPPET,CHP CAN STAND FOR CHOP BUT ALSO STANDS FOR CALIFORNIA HIGHWAY PATROL,N
MLOYEL,3,COLOR,MELLOW YELLOW CAN BE A REFERENCE TO PEE,Y
R43O128,6,ROGER,LOOK ALIKE,N
SNFL916,2,CAR CLUB CAR NAME...,AREA CODE,N
S91183C,6,1983 PORSCHE 911 SC,LOOK ALIKE,N
WWVWVWW,6,NO MEANING JUST ARTISTIC DESIGN,LOOK ALIKE,N
1O215,6,THE DAY MY WIFE AND I MET,ALL DIGITS,N
1961M4,6,BMW FROM 1961,LOOK ALIKE,N
21189,6,WEDDING ANNIVERSARY.,ALL DIGITS,N
35887,6,LOVE,ALL DIGITS,N
42697,6,ANNIVERSARY DATE,ALL DIGITS,N
552M1,6,SIGNIFICANT LIFE NUMBERS;  I HAVE AN M1 ENDORSEMENT,LOOK ALIKE,N
6ILOVE9,1,EVERYTHING ELSE I WANTED WAS TAKEN,I LOVE 69,N
631OO,6,YEAR AND MODEL OF TRUCK,ALL DIGITS,N
671O11V,6,MY FAMILIES BIRTHDATES AND LAST NAME INTIAL,LOOK ALIKE,N
7O396,6,1970 CHEVY WITH 396 ENGINE,ALL DIGITS,N
71616,6,DATE,ALL DIGITS,N
GDTAHOE,2,INITIAL'S FOR GLORIES DIAZ AND LOCATION OF HOME,GD CAN STAND FOR GANSTER DECIPLE,Y
FCKUDMV,3,HOW I FEEL RIGHT NOW,SELF EXPLANATORY,N
GAHDAYM,3,IT'S A HARRY POTTER REFERENCE. THE NAME OF A SPELL WHICH MAKES PEOPLE VANISH,LOOKS LIKE GOD DAMN,N
853,6,MY BIRTH DATE IS 8-5-53,ALL DIGITS,N
1OOGWOP,2,100 DOLLARS IN OTHER WORDS,GWOP IS DEGROGITORY NAME FOR ITALIAN'S. CAN ALSO MEAN MONEY,N
X/R8TD,1,MICRO UNAVAILABLE,X RATED,N
BALZOWT,2,GRANDPARENTS FAMILY NAME = BALOZOWNTI,BALLS OUT,N
BLUD BAG,2,BLOODBAG IS THE NICKNAME FOR MAD MAX IN THE MOVIE FURY ROAD,BLOOD BAG,N
DAM DXTR,3,DAM DEXTER I NAMED MY CAR DEXTER,DAMN DEXTER,N
DMNBDE,3,MILITARY NICKNAME,DMN = DAMN,N
IHOODLM,2,INTELLIGENT HOODLUM IS JUST A NICK NAME,PULLED FOR HOODLUM,N
POR2WOP,2,1/2 PORTUGUESE 1/2 ITALIAN,"PULLED FOR ""WOP""",N
818GIRL,2,VALLEY GIRL,818 = AREA CODE,N
916 TPOS,2,THE AREA CODE OF SACRAMENTO.,916 = AREA CODE,N
BBBB88B,6,FAVORITE NUMBER/LETTER,LOOKS LIKE ALL DIGITS,N
BLU BLIT,2,BLUE BULLET,BLUE,Y
BLZ OUT,1,"I OWN A FIRE SPRINKLER COMPANY CALLED ""BLAZE OUT""",BALLS OUT,N
CALARMS,2,FIREARM CO CALIFORNIA FIREARMS,FIREARMS,Y
DEGENRT,2,DEGENERATE BECAUSE IM A PROFESSIONAL POKER PLAYER,DEGENERATE,N
DWARVES,2,AS A TRIBUTE TO MY AUNT WHO RECENTLY PASSED DIANNE WARVES,DWARF,N
GOIN LRG,2,GOING LARGE,GO IN LARGE,N
GRYBUSH,2,NICKNAME. MEANS I HAVE GREY HAIR AND GREY BEARD,REFERENCE TO PUBIC AREA,N
HAN8JO5,2,OUR KIDS NAME,LOOKS LIKE HAND JOB,N
HYE JEEP,2,MY COUNTRYS NAME,HIGH,N
MJMJ 916,2,INITIALS AND AREA CODE,916 AREA CODE,N
MR UZZI,2,GODS CHILD,FIREARM OOZY,N
STONEYS,2,MY LAST NAME IS STONEKING. EVERYONE CALLS ME STONEY,LOOKS LIKE STONED TO BE HIGH,N
1155OHS,6,COMMONLY USED POLICE CODE,LOOK ALIKE,N
31470S1,6,IT IS THE ORIGINAL LICENSE PLATE NUMBER,LOOKS LIKE A COMMERCIAL PLATE,N
3547OM1,6,ORIGINAL PLATE NUMBERS,LOOKS LIKE A COMMERCIAL PLATE,N
562ILWU,2,DOCK WORKER,562 AREA CODE,N
OINK 3X,2,IT'S FOR A HARLEY MOTOTRCYCLE AND THERE KNOWN AS HOGS,OINK AS IN PIG,N
BZD HLTH,2,BUZZ'D HEALTH,BUZZED AS IN HIGH HEALTH,N
QODOQQO,6,"ITS THE FIRST LETTERS OF THE WORDS IN A RELIGIOUS POEM. ""QUESTIONS OF DIVINITY OR QUEST QUESTIONING OURSELVES""",LOOKS LIKE ALL DIGITS,N
HILBLEE,2,COUNTRY FOLK,HILL BILLY,N
EATNSNX,1,I EAT A LOT OF SNACKS,EATING SNACKS,N
FNDFLUF,2,"I LOVE TO SKI AND SNOWBOARD, AND WE JOKE THAT REAL (NOT MAN MADE SNOW) IS CALLED FLUFF.",FIND FLUFF?,Y
HAM URD,2,HAM URD,DRUNK,N
SHRK 559,2,NICKNAME AND AREA CODE,559 AREA CODE,N
SMKNFLM,2,FIRE FIGHTER SMOKE AND FLAMES,SMOKE AND FLAME,N
SSFELON,2,BRAND OF THE VEICHLE,FELON,N
TIRO619,2,NICK NAME,619 AREA CODE,N
YANKS 2,2,FAVORITE BASEBALL TEAM,YANKEE,Y
90052B1,2,A LIKE FOR THE CLASSICS,COMMERCIAL LOOK A LIKE,N
FLIPNLA,3,HOUSE FLIPPING,FLIPPIN LA,N
LARJRYD,2,LARGE RIDE,LARGE RIDE,Y
ABSTRD,2,"ALAN B'STARD, THE RIGHT HONORABLE MEMBER OF PARLIAMENT FOR HALTEMPRICE CONSTITUENCY IN ENGLAND IN THE MID 1980S, HE HELD THE LARGEST MAJORITY IN THE HOUSE",BASTARD,N
A1241OB,6,DAUGHTERS INITIALS AND BIRTH DATE,COULD BE MISTAKEN FOR A TIN NUMBER,N
BOOOO38,6,IT IS A NICKNAME,LOOK A LIKE,N
BOO8BOO,6,NICKNAME AND FAMILY NUMBER,COULD BE MISTAKEN FOR A TIN NUMBER,N
CO8669O,6,RETIRED EMPLOYEE NUMBER,TIN NUMBER,N
NOKJEFE,2,NONE,JEFE,N
O311 LB,6,MILITARY OCUPATION AND INITIALS,LOOK A LIKE,N
TPLS MCQ,1,CONVERTIBLE MCQUEEN,TOPLESS,N
2L8U812,2,TOO LATE YOU ATE ONE TOO 2    L8   U   8   1   2,TOO LATE U ATE ONE TOO,N
29O18OS,2,COMBINATION OF BIRTH DAYS AND FIRST LETTERS OF CHILD NAMES,LOOK A LIKE,N
415 LMTD,2,415=SAN FRANCISCO AREA CODE. LMTD=LIMTED B/C VEHICLE IS A TAHOE LIMITED,415 AREA CODE,N
8BB81S3,2,THE CAR IS AN AUDI S3 AND I LIOKE THE SEQUENCE 8BB8,COULD BE A LOOK A LIKE,N
916 LIFE,2,WHAT IS THE AREA CODE OF THE NUMBER OF SACRAMENTO AND THIS IS WHERE I GREW UP AT,916 AREACODE,N
LCK$LK,2,LCK LOVES LK,LICK LOVE LICK,N
PR1 ODRS,2,THE BAND PRETENDERS,ODORS?,Y
XPLR GRW,2,EXPLORE AND GROW,EXPLORE AND GROW,Y
BLAZIR,2,GAMERTAG,BLAZER? COULD BE MARIJUANA REFERENCE,N
BLOWN T8,2,IT IS A SUPERCHARGED MAGNUM SRT8,BLOWN CAN BE MARIJUANA REFERENCE,N
CVLL5O9,2,"IN MEMORY OF MY ONLY SON, DIE WHEN HE BORN. MEANING CARLITO VILLAGOMEZ MAY 09",509 = AREA CODE,N
EZ JEFE,2,EASY BOSS,JEFE = BOSS,N
I N EGRO,2,HOW BLACK,PULLED FOR NEGRO,N
31OLIVN,2,310 LIVING,310 = AREA CODE,N
2HOODZ,2,2 MASTERS DEGREES,TOO HOOD?,N
CJDAGUA,1,CAJA DEL AGUA,"TRANSLATES TO ""WATER BOX""",N
CLAP TRP,2,VIDEO GAME CHARACTER,"CUSTOMER MEANING IS TRUE, ALSO DICTIONARY.COM SAYS IT MEANS 'NONSENSE' BUT PULLED FOR 'CLAP' STD MEANING ALSO MENTIONED IN URBAN DICTIONARY",N
DMM DANL,3,DAMN DANIEL,damn daniel,N
RUNGIRL,2,NO MEANING ON REG 17,"RUN, GIRL! COULD BE TAKEN AS HOSTILITY ON A LICENSE PLATE.",Y
VIPN8E R,1,ITS A DODGE VIPER,"vipinator, pulled for ate. But does have a Dodge",N
WHB TRSH,2,"MY AND WIFE'S INITIALS AND ""TRASH""",TRASH,N
64LOWCO,2,"1964 CHEVY IMPALA, CRAZY CAR.","LOCO=CRAZY, NO 64 ON ANI",Y
M$RFNPH,1,MORE FUN IN THE PHILLIPINES,MORE EFFIN,N
1SNIPE,2,TEAM 1 SNIPER,"sniper, veteran plate",N
WV469,1,LAST 6 OF ORIGINAL LICENSE PLATE,"WAVE FOR 69, BUT HE REALLY HAS 5XWV469 ON HIS 2001 JAGUAR",N
PBRSLYR,2,PERSONAL REASONS,PABST BLUE RIBBON SLAYER? OR PROFESSIONAL BULL RIDER SLAYER? PULLED FOR SLAYER,N
6T NYNE,1,"SINCE THE YEAR 1969 WAS TAKEN, I TRIED TO MEND THE WORDING IN ORDER TO CREATE MY FAVORITE YEAR MUSTANG WHICH IS MY DADS WEEKEND CAR THAT HE IS GIVING TO ME WHEN HE PASSES.",NO 69 CAR ON ANI,N
SLOBLOK,3,OWNER OF H AND R BLOCKS IN SLO COUNTY,"AN ANOGRAM OF THE WORD 'BOLLOCKS' WHICH MEANS 'BALLS', FOUND WITH A GOOGLE SEARCH",N
CADI818,2,CADILLAC 818,818 AREA CODE,N
KO781D0,6,NOTHING. K IS THE FIRST LETTER OF MY LAST NAME. 0781 IS MY ADDRESS BACKWARDS D0 IS JUST A PLACEHOLDER,LOOKS LIKE TIN NUMBER,N
L3O3B1,6,THERE IS NO MEANING,LOOKS LIKE LEGACY SEQUENTIAL,N
ODB95SS,2,OLD DIRT BAG 95 SS,OLD DIRT BAG,N
RCVZ323,2,MY SON INITIALS PLUS DATE OF BIRTH,323 AREA CODE,N
S1O2O17,6,MODEL OF VEHICLE AND A SPECIAL YEAR,LOOKS LIKE TIN NUMBER,N
1O496B2,6,IT IS THE ORIGINAL LICENSE PLATE NUMBERS THEY GAVE US.,LOOKS LIKE COMMERCIAL PLATE,N
117S41O,6,FAVORITE NUMBERS,LOOKS LIKE ALL NUMBERS,N
8O5HI,2,805 HOME INSPECTIONS,805 AREA CODE,N
DQG TRNR,6,DOG TRAINER,LOOK ALIKE,N
B7674OO,6,I FLEW THE BOING 767 400 AS A CAPTAIN FOR  DELTA AIRLINES,LOOK ALIKE,N
GMSFU,7,GOT ME SO FUCKED UP,SELF EXPLANATORY,N
HOODOO9,6,A HOODOO IS A TALL THIN ROCK SPIRE.  HOODOOS ARE FOUND IN THE DESERT DRY HOT AREAS,THE D BLENDS IN WITH THE O'S AND MAKES IT LOOK LIKE A LOOK ALIKE,Y
MCKDADY,3,NICKNAME,ANOHTER WORD FOR A PIMP,N
M1O24O6,6,MY WIFES FIRST INITIAL.  DATE OF ANNIVERSARY.,LOOK ALIKE,N
NEDAM,3,"""WON'T GIVE"" IN RUSSIAN","DAM, CURSE WORD",Y
WMWNWMW,6,WHO MADE WHO AC/DC ALBUM,LOOK ALIKE,N
XXXXXX6,7,BMW X6,"6 X'S AND THE 6, NOT SURE BUT COULD STAND FOR SOMETHING",N
125OO,6,CVC FOR UNLICENSED DRIVER,ALL DIGITS,N
12771,6,VIN NUMBER,ALL DIGITS,N
1322,6,LIMITED EDITION NUMBER,ALL DIGITS,N
13928,6,MY ANNIVERSARY (13) AND MY LUCKY NUMBER (928),ALL DIGITS,N
1951ZO6,6,1951 ZO6 (AS IN CORVETTE),LOOK ALIKE,N
4O217A2,6,NOTHING,LOOK ALIKE,N
6639O4S,6,1966 390 CUBIC INCH 4 SPEED,LOOK ALIKE,N
7242,6,LUCKY NUMBERS,ALL DIGITS,N
8168O,6,JERSEY NUMBERS FOR SAN FRANCISCO PLAYERS STEVE YOUNG JOE MONTANA JERRY RICE,ALL DIGITS,N
9246O,6,"MY WIFE AND I WERE MARRIED ON SEPTEMBER  24, 1960",ALL DIGITS,N
SBWL5O,4,SUPER BOWL 50,"5O, COP REFERENCE",N
1SINNER,2,MY BAND NAME,ONE SINNER,Y
4O6 NOVA,2,ENGINE SIZE AND TYPE OF CAR,406 = AREA CODE,Y
ANA CRYM,2,ANAHEIM THE CITY I WAS RAISED AND WHERE I ENLISTED OUT OF TO JOIN THE MARINE CORPS,ANA CRIME,N
CAT EME,1,CATARINA EMETCROO,PULLED FOR CAT,Y
HHITMEN,2,HEAVENS HITMEN IS AN CHRISTIAN OUTREACH MINISTRY I HAVE FOUNDED.,PULLED FOR HITMEN,N
JR562RS,2,"JR-MY NAME,562-AREA CODE OF MY CITY,RS-MODEL OF MY CAR",562 = AREA CODE,N
LVGD415,2,LVGD (LIVING GOOD: ABBREVIATED)  415 (SF AREA CODE) MEANING LIVING GOOD IN SAN FRANCISCO,415 = AREA CODE,N
RTILRY,2,NO MEANING ON REG 17,ARTILERY,N
TOBE 619,2,IT'S JUST BETO BUT REVERSED AND THE AREA CODE OF SAN DIEGO BECAUSE I LOVE IT,619 = AREA CODE,N
WARFRG1,2,MILITARY CUSTOM PLATE,PULLED FOR WAR,N
6FTDEEP,2,6 FEET DEEP. REFERS TO THE DEPTH OF BURIAL.,6 FEET DEEP,N
612HOME,2,DADS NUMBER,612 = AREA CODE?,N
JOY PINK,2,MY NAME IS JOY AND I LOVE THE COLOR PINK.,PULLED FOR PINK,Y
C322350,6,FAST SPEED,LOOK A LIKE,N
DJ GATO,1,DJ NAME,DJ CAT,Y
ETMGONZ,2,SONS NAME,EATEM GONZ,N
INFDL 68,2,I N FOR DUH LOVE 68,INFEDEL,N
I8AMINI,2,I ATE A MINI,I ATE A MINI,N
KCKROCS,2,PHRASE MEANING GET OUT OF HERE,KICK ROCKS,Y
LICMYC7,1,JUST A FUNNY LICENSE PLATE,LICK MY C7,N
MALHII,1,LAST NAME,LOOKS LIKE MILE HIGH,Y
MVEVRNP,2,WIVES NICKNAME,MOVE OVER AND PEE,N
1010I0,6,"THIS IS BINARY FOR 42, A REFERENCE TO DOUGLAS ADAM'S ""HITCHHIKER'S GUIDE TO THE GALAXY""",LOOK A LIKE,N
11300M1,6,NO MEANING AT ALL . SAME AS OLD LICENSE PLATES,LOOK A LIKE,N
2006 SS,6,2006 SUPER SPORT,LOOK  A LIKE,N
831 LIVN,2,MY WHOLE LIFE BEEN LIVING IN THE SAME TOWN WITH THIS AREA CODE,AREA CODE,N
O1TIME,2,YOU ONLY HAVE TO LOOK AT IT ONE TIME!,LOOK A LIKE,N
BLU MOBL,2,BLUE HHR CAR,BLUE,Y
TEA BAGR,1,"PREVIOUSLY WORKED WITH A FRIEND MAKING TEA BAGS, MY NICK NAME AND POSITION WAS ""TEA BAGGER""",TEA BAGGER,N
A31OLIF,2,A LOS ANGELES LIFE,310 AREA CODE,N
BNEKING,1,MY NAME IS BENNY AND I AM A KING,BONE KING,N
B916RD,2,OUR ANNIVERSARY DATE AND OUR NAME INITIAL,916 AREA CODE,N
